"","gene_name","cont_topology","intro_topology","control_trio_min","intro_trio_min"
"5671","Solyc04g057950"," P1P2"," P1P2","P1P2","P2P3"
"5672","Solyc04g057960"," P1P2"," P2P3","P1P2","P1P3"
"5673","Solyc04g057970"," P1P2"," P1P2","P2P3","P2P3"
"5674","Solyc04g057980"," P1P2"," P1P2","P1P2","P2P3"
"5678","Solyc04g057990"," P1P2"," P1P2","P1P2","P2P3"
"5684","Solyc04g058010"," P1P2"," P1P2","P2P3","P1P2"
"5685","Solyc04g058140"," P1P2"," P1P2","P1P3","P2P3"
"5686","Solyc04g058180"," P1P2"," P1P2","P1P2","P2P3"
"5687","Solyc04g058190"," P1P2"," P1P2","P1P2","P2P3"
"5688","Solyc04g058200"," P1P2"," P1P2","P1P3","P1P2"
"5689","Solyc04g063210"," P1P2"," P1P2","P2P3","P2P3"
"5690","Solyc04g063230"," P1P2"," P1P2","P2P3","P2P3"
"5691","Solyc04g063280"," P1P2"," P1P2","P1P3","P1P2"
"5692","Solyc04g063290"," P1P2"," P1P2","P1P2","P1P2"
"5694","Solyc04g063300"," P1P2"," P1P2","P1P3","P1P3"
"5695","Solyc04g063350"," P1P2"," P1P2","P1P2","P2P3"
"5696","Solyc04g063360"," P1P2"," P1P2","P1P3","P2P3"
"5697","Solyc04g063380"," P1P2"," P1P2","P1P2","P1P3"
"5700","Solyc04g063400"," P1P2"," P1P2","P1P3","P1P2"
"5701","Solyc04g064500"," P1P2"," P1P2","P1P3","P1P3"
"5703","Solyc04g064510"," P1P2"," P1P2","P1P3","P2P3"
"5704","Solyc04g064550"," P1P2"," P1P2","P2P3","P2P3"
"5706","Solyc04g064560"," P1P2"," P1P2","P2P3","P1P2"
"5707","Solyc04g064670"," P1P2"," P1P2","P1P3","P2P3"
"5709","Solyc04g064680"," P1P2"," P1P2","P1P2","P1P3"
"5710","Solyc04g064700"," P1P2"," P1P2","P2P3","P1P2"
"5711","Solyc04g064720"," P1P2"," P1P2","P1P2","P1P3"
"5714","Solyc04g064760"," P1P2"," P1P2","P2P3","P2P3"
"5716","Solyc04g064810"," P1P2"," P1P2","P1P2","P1P2"
"5718","Solyc04g064830"," P1P2"," P1P2","P1P3","P1P2"
"5722","Solyc04g064930"," P1P2"," P1P2","P1P2","P2P3"
"5724","Solyc04g070990"," P1P2"," P1P2","P1P2","P1P3"
"5725","Solyc04g071010"," P1P2"," P1P2","P2P3","P2P3"
"5726","Solyc04g071030"," P1P2"," P1P2","P2P3","P1P2"
"5727","Solyc04g071040"," P1P2"," P1P2","P1P3","P1P2"
"5728","Solyc04g071050"," P1P2"," P1P2","P1P2","P1P3"
"5729","Solyc04g071070"," P1P2"," P1P2","P2P3","P2P3"
"5730","Solyc04g071120"," P1P2"," P1P2","P1P3","P1P3"
"5731","Solyc04g071130"," P1P2"," P1P2","P2P3","P1P2"
"5732","Solyc04g071140"," P1P2"," P1P2","P1P3","P1P3"
"5733","Solyc04g071160"," P1P2"," P1P2","P1P2","P1P2"
"5734","Solyc04g071180"," P1P2"," P1P3","P1P2","P1P2"
"5737","Solyc04g071280"," P1P2"," P1P2","P2P3","P1P3"
"5738","Solyc04g071310"," P1P2"," P1P2","P1P2","P2P3"
"5739","Solyc04g071320"," P1P2"," P1P2","P1P2","P1P2"
"5740","Solyc04g071330"," P1P2"," P1P2","P1P2","P1P2"
"5741","Solyc04g071340"," P1P2"," P1P2","P1P2","P2P3"
"5742","Solyc04g071350"," P1P2"," P1P2","P1P2","P2P3"
"5743","Solyc04g071420"," P1P2"," P1P3","P1P3","P2P3"
"5746","Solyc04g071440"," P1P2"," P1P2","P1P2","P1P3"
"5748","Solyc04g071510"," P1P2"," P1P2","P1P2","P1P2"
"5749","Solyc04g071540"," P1P2"," P1P2","P1P2","P1P2"
"5751","Solyc04g071560"," P1P2"," P1P2","P1P3","P2P3"
"5752","Solyc04g071570"," P1P2"," P1P2","P1P2","P1P2"
"5753","Solyc04g071580"," P1P2"," P2P3","P2P3","P1P3"
"5754","Solyc04g071610"," P1P2"," P2P3","P1P3","P1P2"
"5756","Solyc04g071630"," P1P2"," P1P2","P1P3","P2P3"
"5758","Solyc04g071650"," P1P2"," P1P2","P2P3","P2P3"
"5759","Solyc04g071700"," P1P2"," P1P2","P1P2","P1P3"
"5760","Solyc04g071710"," P1P2"," P1P2","P2P3","P1P2"
"5763","Solyc04g071730"," P1P2"," P1P2","P1P3","P1P3"
"5764","Solyc04g071770"," P1P2"," P1P2","P2P3","P1P2"
"5765","Solyc04g071860"," P1P2"," P2P3","P1P2","P1P2"
"5766","Solyc04g071870"," P1P2"," P1P2","P1P3","P2P3"
"5767","Solyc04g071880"," P1P2"," P1P2","P2P3","P1P3"
"5768","Solyc04g071930"," P1P2"," P1P2","P1P2","P2P3"
"5771","Solyc04g071940"," P1P2"," P1P2","P1P3","P1P3"
"5772","Solyc04g071990"," P1P2"," P1P2","P1P2","P1P3"
"5773","Solyc04g072010"," P1P2"," P1P2","P1P3","P1P3"
"5774","Solyc04g072050"," P1P2"," P1P2","P1P2","P2P3"
"5777","Solyc04g072060"," P1P2"," P1P2","P1P2","P2P3"
"5778","Solyc04g072160"," P1P2"," P1P2","P1P2","P1P3"
"5779","Solyc04g072180"," P1P2"," P1P2","P2P3","P1P3"
"5780","Solyc04g072190"," P1P2"," P1P2","P1P2","P2P3"
"5781","Solyc04g072200"," P1P2"," P1P2","P1P2","P1P3"
"5782","Solyc04g072220"," P1P2"," P1P2","P1P2","P1P2"
"5783","Solyc04g072240"," P1P2"," P1P2","P2P3","P1P2"
"5785","Solyc04g072260"," P1P2"," P1P2","P1P3","P2P3"
"5786","Solyc04g072290"," P1P2"," P1P2","P1P3","P1P3"
"5788","Solyc04g072310"," P1P2"," P1P2","P1P2","P1P2"
"5792","Solyc04g072390"," P2P3"," P1P2","P2P3","P1P2"
"5793","Solyc04g072450"," P1P2"," P1P2","P1P2","P1P2"
"5794","Solyc04g072490"," P1P2"," P1P2","P1P3","P1P3"
"5795","Solyc04g072500"," P1P2"," P1P3","P1P3","P2P3"
"5796","Solyc04g072510"," P1P2"," P2P3","P1P2","P1P2"
"5797","Solyc04g072520"," P1P2"," P1P2","P2P3","P1P3"
"5798","Solyc04g072530"," P1P2"," P1P2","P1P2","P1P3"
"5799","Solyc04g072540"," P1P2"," P1P2","P1P2","P1P3"
"5800","Solyc04g072550"," P1P2"," P2P3","P1P3","P1P2"
"5801","Solyc04g072560"," P1P2"," P2P3","P1P3","P2P3"
"5802","Solyc04g072570"," P1P2"," P1P3","P1P2","P1P3"
"5803","Solyc04g072630"," P1P2"," P1P2","P1P3","P2P3"
"5805","Solyc04g072640"," P1P2"," P2P3","P2P3","P2P3"
"5806","Solyc04g072660"," P1P2"," P1P2","P1P3","P1P3"
"5807","Solyc04g072670"," P1P2"," P1P2","P1P3","P1P3"
"5808","Solyc04g072690"," P1P2"," P1P2","P1P2","P2P3"
"5809","Solyc04g072760"," P1P2"," P1P2","P1P2","P1P3"
"5810","Solyc04g072780"," P1P2"," P1P2","P1P3","P2P3"
"5811","Solyc04g072810"," P1P2"," P1P2","P1P2","P1P3"
"5812","Solyc04g072830"," P1P2"," P1P2","P2P3","P1P3"
"5813","Solyc04g072850"," P1P2"," P1P2","P1P3","P1P3"
"5814","Solyc04g072860"," P1P2"," P1P2","P1P2","P1P3"
"5815","Solyc04g072880"," P1P2"," P1P2","P1P2","P2P3"
"5817","Solyc04g072890"," P1P2"," P1P2","P2P3","P1P3"
"5819","Solyc04g072900"," P1P2"," P1P2","P1P3","P2P3"
"5820","Solyc04g072920"," P1P2"," P1P2","P1P3","P2P3"
"5821","Solyc04g072930"," P1P2"," P1P2","P2P3","P2P3"
"5822","Solyc04g073960"," P1P2"," P1P2","P2P3","P2P3"
"5823","Solyc04g073970"," P1P2"," P1P2","P2P3","P1P2"
"5824","Solyc04g073990"," P1P2"," P1P2","P2P3","P1P2"
"5825","Solyc04g074040"," P1P2"," P1P2","P2P3","P2P3"
"5826","Solyc04g074090"," P1P2"," P1P2","P1P2","P1P2"
"5827","Solyc04g074100"," P1P2"," P1P2","P1P2","P1P2"
"5828","Solyc04g074110"," P1P2"," P1P2","P1P2","P2P3"
"5829","Solyc04g074130"," P1P2"," P1P2","P2P3","P1P2"
"5831","Solyc04g074140"," P1P2"," P1P2","P1P2","P2P3"
"5832","Solyc04g074150"," P1P2"," P1P2","P2P3","P1P2"
"5834","Solyc04g074160"," P1P2"," P1P2","P1P2","P1P3"
"5836","Solyc04g074180"," P1P2"," P1P2","P2P3","P1P2"
"5837","Solyc04g074220"," P1P2"," P1P2","P1P2","P1P3"
"5838","Solyc04g074230"," P1P2"," P1P2","P2P3","P1P2"
"5839","Solyc04g074240"," P1P2"," P1P2","P1P2","P2P3"
"5840","Solyc04g074250"," P1P2"," P1P2","P2P3","P1P2"
"5841","Solyc04g074270"," P1P2"," P2P3","P2P3","P2P3"
"5842","Solyc04g074280"," P1P2"," P1P2","P1P3","P1P3"
"5843","Solyc04g074290"," P1P2"," P1P2","P1P2","P2P3"
"5846","Solyc04g074300"," P1P2"," P1P2","P1P3","P1P2"
"5847","Solyc04g074430"," P1P2"," P2P3","P1P3","P2P3"
"5849","Solyc04g074440"," P1P2"," P1P2","P1P2","P1P2"
"5850","Solyc04g074480"," P1P2"," P1P2","P2P3","P1P2"
"5851","Solyc04g074490"," P1P2"," P2P3","P1P3","P1P2"
"5852","Solyc04g074500"," P1P2"," P1P2","P2P3","P2P3"
"5853","Solyc04g074510"," P1P2"," P1P2","P1P3","P2P3"
"5855","Solyc04g074520"," P1P2"," P1P2","P1P3","P2P3"
"5856","Solyc04g074550"," P1P2"," P2P3","P1P3","P1P2"
"5858","Solyc04g074560"," P2P3"," P2P3","P1P2","P2P3"
"5859","Solyc04g074580"," P1P2"," P1P2","P2P3","P2P3"
"5860","Solyc04g074630"," P1P2"," P1P2","P1P2","P2P3"
"5861","Solyc04g074670"," P1P2"," P1P2","P1P3","P2P3"
"5862","Solyc04g074690"," P1P2"," P1P2","P1P3","P1P3"
"5863","Solyc04g074700"," P1P2"," P1P3","P1P2","P2P3"
"5864","Solyc04g074720"," P1P2"," P1P2","P1P3","P2P3"
"5866","Solyc04g074730"," P1P2"," P1P2","P1P2","P1P3"
"5867","Solyc04g074770"," P1P2"," P1P2","P1P2","P1P2"
"5868","Solyc04g074790"," P1P2"," P1P2","P2P3","P1P3"
"5869","Solyc04g074800"," P1P2"," P1P2","P1P3","P1P2"
"5870","Solyc04g074860"," P1P2"," P1P2","P1P3","P1P2"
"5871","Solyc04g074910"," P1P2"," P1P2","P1P3","P1P3"
"5872","Solyc04g074940"," P1P2"," P2P3","P2P3","P1P2"
"5873","Solyc04g074950"," P1P2"," P1P2","P1P3","P2P3"
"5874","Solyc04g074960"," P1P2"," P1P2","P2P3","P1P3"
"5875","Solyc04g074980"," P1P2"," P1P2","P1P2","P1P3"
"5876","Solyc04g076020"," P1P2"," P1P2","P2P3","P2P3"
"5878","Solyc04g076030"," P1P2"," P1P2","P1P2","P1P2"
"5879","Solyc04g076050"," P1P2"," P1P2","P1P3","P1P2"
"5880","Solyc04g076060"," P1P2"," P1P2","P1P3","P1P3"
"5881","Solyc04g076080"," P1P2"," P1P2","P1P2","P1P2"
"5882","Solyc04g076090"," P1P2"," P1P2","P2P3","P1P2"
"5883","Solyc04g076100"," P1P2"," P1P2","P1P3","P1P3"
"5884","Solyc04g076110"," P1P2"," P1P2","P2P3","P1P2"
"5885","Solyc04g076140"," P1P2"," P1P2","P2P3","P1P2"
"5886","Solyc04g076180"," P1P2"," P1P2","P1P3","P1P3"
"5887","Solyc04g076200"," P1P2"," P1P2","P2P3","P1P3"
"5888","Solyc04g076210"," P1P2"," P1P2","P1P2","P2P3"
"5889","Solyc04g076220"," P1P2"," P1P2","P2P3","P1P2"
"5890","Solyc04g076230"," P1P2"," P1P2","P1P3","P1P2"
"5891","Solyc04g076250"," P1P2"," P1P2","P1P2","P1P2"
"5892","Solyc04g076260"," P1P3"," P1P2","P1P2","P2P3"
"5893","Solyc04g076290"," P1P2"," P1P2","P1P2","P1P3"
"5895","Solyc04g076300"," P1P2"," P1P2","P2P3","P1P3"
"5897","Solyc04g076310"," P1P2"," P1P2","P2P3","P1P2"
"5898","Solyc04g076340"," P1P2"," P1P2","P2P3","P1P2"
"5899","Solyc04g076360"," P1P2"," P1P2","P1P3","P1P2"
"5900","Solyc04g076370"," P1P2"," P1P2","P2P3","P1P3"
"5901","Solyc04g076380"," P1P2"," P1P2","P1P3","P2P3"
"5902","Solyc04g076390"," P1P2"," P1P3","P1P2","P1P2"
"5903","Solyc04g076400"," P1P2"," P1P2","P1P3","P1P2"
"5904","Solyc04g076410"," P1P2"," P1P2","P1P2","P1P2"
"5905","Solyc04g076420"," P1P2"," P1P2","P1P3","P1P2"
"5906","Solyc04g076430"," P1P2"," P1P2","P1P2","P1P3"
"5907","Solyc04g076460"," P1P2"," P1P2","P1P2","P1P3"
"5908","Solyc04g076470"," P1P2"," P1P2","P1P3","P1P3"
"5910","Solyc04g076480"," P1P2"," P1P2","P1P3","P1P2"
"5913","Solyc04g076520"," P1P2"," P1P2","P1P3","P1P3"
"5914","Solyc04g076530"," P1P2"," P1P2","P1P3","P2P3"
"5915","Solyc04g076540"," P1P2"," P1P2","P1P2","P1P3"
"5916","Solyc04g076560"," P1P2"," P1P2","P1P3","P1P3"
"5919","Solyc04g076570"," P1P2"," P1P2","P1P2","P1P3"
"5920","Solyc04g076620"," P1P2"," P1P2","P2P3","P1P3"
"5921","Solyc04g076630"," P1P2"," P1P2","P1P3","P2P3"
"5922","Solyc04g076670"," P1P2"," P1P2","P1P2","P1P3"
"5923","Solyc04g076690"," P1P2"," P2P3","P2P3","P2P3"
"5927","Solyc04g076700"," P1P2"," P2P3","P1P3","P1P3"
"5928","Solyc04g076790"," P1P2"," P1P2","P1P3","P1P3"
"5929","Solyc04g076800"," P1P2"," P1P2","P1P2","P1P2"
"5930","Solyc04g076810"," P1P2"," P1P2","P1P2","P1P3"
"5931","Solyc04g076820"," P1P2"," P1P2","P1P2","P1P2"
"5932","Solyc04g076850"," P1P2"," P1P2","P1P3","P1P3"
"5933","Solyc04g076860"," P1P2"," P1P2","P1P3","P1P3"
"5934","Solyc04g076870"," P1P2"," P1P2","P1P2","P1P2"
"5935","Solyc04g076880"," P1P2"," P1P2","P1P2","P2P3"
"5936","Solyc04g076890"," P1P2"," P1P2","P1P3","P2P3"
"5937","Solyc04g076900"," P1P2"," P1P2","P1P2","P1P2"
"5938","Solyc04g076910"," P1P2"," P1P2","P1P3","P1P3"
"5939","Solyc04g076920"," P1P2"," P1P2","P2P3","P2P3"
"5940","Solyc04g076940"," P1P2"," P1P2","P2P3","P1P2"
"5942","Solyc04g076960"," P1P2"," P1P2","P2P3","P1P3"
"5943","Solyc04g076980"," P1P2"," P2P3","P1P3","P1P3"
"5944","Solyc04g076990"," P1P2"," P1P2","P1P2","P1P2"
"5945","Solyc04g077000"," P1P2"," P1P2","P2P3","P1P2"
"5946","Solyc04g077020"," P1P2"," P1P2","P1P2","P1P3"
"5947","Solyc04g077030"," P1P2"," P1P2","P1P3","P1P2"
"5948","Solyc04g077040"," P1P2"," P1P2","P1P3","P1P3"
"5949","Solyc04g077050"," P1P2"," P1P2","P1P2","P2P3"
"5950","Solyc04g077060"," P1P2"," P1P2","P1P3","P1P2"
"5951","Solyc04g077120"," P1P2"," P1P2","P1P2","P1P2"
"5952","Solyc04g077140"," P1P2"," P1P2","P2P3","P1P2"
"5953","Solyc04g077150"," P1P2"," P1P2","P1P3","P1P3"
"5954","Solyc04g077160"," P1P2"," P1P2","P1P3","P1P2"
"5957","Solyc04g077190"," P1P2"," P1P2","P1P2","P2P3"
"5958","Solyc04g077420"," P1P2"," P1P2","P2P3","P2P3"
"5959","Solyc04g077430"," P1P2"," P1P2","P2P3","P1P2"
"5960","Solyc04g077440"," P1P2"," P1P2","P1P2","P2P3"
"5961","Solyc04g077450"," P1P2"," P2P3","P1P3","P1P2"
"5962","Solyc04g077460"," P1P2"," P1P2","P1P2","P2P3"
"5963","Solyc04g077470"," P1P2"," P1P2","P1P3","P2P3"
"5964","Solyc04g077480"," P1P2"," P1P2","P1P3","P1P2"
"5965","Solyc04g077500"," P1P2"," P1P2","P2P3","P1P2"
"5967","Solyc04g077510"," P1P2"," P1P2","P1P2","P1P3"
"5968","Solyc04g077540"," P1P2"," P1P2","P1P3","P2P3"
"5970","Solyc04g077560"," P1P2"," P1P2","P1P2","P1P3"
"5971","Solyc04g077590"," P1P2"," P1P2","P1P3","P1P3"
"5972","Solyc04g077600"," P1P2"," P1P2","P1P2","P1P3"
"5973","Solyc04g077610"," P1P2"," P1P2","P1P3","P1P3"
"5974","Solyc04g077660"," P1P2"," P1P2","P1P3","P1P3"
"5975","Solyc04g077680"," P1P2"," P1P2","P2P3","P1P2"
"5977","Solyc04g077690"," P1P2"," P1P2","P1P3","P1P3"
"5979","Solyc04g077780"," P1P2"," P1P2","P1P2","P2P3"
"5981","Solyc04g077810"," P1P2"," P1P2","P1P2","P1P3"
"5983","Solyc04g077830"," P1P2"," P1P2","P2P3","P1P3"
"5984","Solyc04g077840"," P1P2"," P1P2","P1P3","P1P3"
"5985","Solyc04g077850"," P1P2"," P1P2","P1P2","P2P3"
"5986","Solyc04g077860"," P1P2"," P2P3","P1P2","P1P3"
"5987","Solyc04g077870"," P1P2"," P1P2","P1P3","P2P3"
"5989","Solyc04g077920"," P1P2"," P1P2","P2P3","P2P3"
"5990","Solyc04g077940"," P1P2"," P1P2","P1P3","P2P3"
"5991","Solyc04g077970"," P1P2"," P1P2","P2P3","P1P3"
"5992","Solyc04g077980"," P1P2"," P1P2","P2P3","P1P2"
"5993","Solyc04g077990"," P1P2"," P1P2","P1P2","P1P3"
"5994","Solyc04g078000"," P1P2"," P1P2","P1P2","P1P3"
"5995","Solyc04g078050"," P1P2"," P1P2","P1P2","P1P2"
"5996","Solyc04g078060"," P1P2"," P1P2","P1P3","P2P3"
"5997","Solyc04g078070"," P1P2"," P1P2","P2P3","P1P3"
"5998","Solyc04g078090"," P1P2"," P1P2","P2P3","P1P2"
"6000","Solyc04g078110"," P1P2"," P2P3","P1P3","P1P2"
"6002","Solyc04g078130"," P1P2"," P1P2","P1P3","P1P2"
"6003","Solyc04g078150"," P1P2"," P1P2","P2P3","P1P2"
"6004","Solyc04g078160"," P1P2"," P1P2","P1P2","P1P2"
"6005","Solyc04g078190"," P1P2"," P1P2","P1P2","P2P3"
"6006","Solyc04g078210"," P1P2"," P1P2","P1P2","P1P3"
"6007","Solyc04g078250"," P1P2"," P1P2","P1P2","P2P3"
"6008","Solyc04g078320"," P1P2"," P1P2","P2P3","P1P2"
"6009","Solyc04g078380"," P1P2"," P1P2","P1P3","P1P2"
"6010","Solyc04g078390"," P1P2"," P1P2","P1P3","P2P3"
"6011","Solyc04g078400"," P1P2"," P1P2","P1P3","P1P2"
"6012","Solyc04g078420"," P1P2"," P1P2","P1P2","P1P2"
"6014","Solyc04g078460"," P1P2"," P1P2","P1P3","P1P3"
"6016","Solyc04g078490"," P1P2"," P1P2","P1P3","P2P3"
"6017","Solyc04g078510"," P1P2"," P1P2","P1P3","P2P3"
"6018","Solyc04g078540"," P1P2"," P1P2","P1P3","P1P3"
"6021","Solyc04g078550"," P1P2"," P1P2","P1P2","P1P2"
"6022","Solyc04g078620"," P1P2"," P1P2","P1P3","P2P3"
"6023","Solyc04g078640"," P1P2"," P1P2","P1P2","P1P3"
"6024","Solyc04g078660"," P1P2"," P1P2","P1P3","P2P3"
"6025","Solyc04g078670"," P1P2"," P1P2","P1P2","P2P3"
"6026","Solyc04g078680"," P1P2"," P1P2","P1P3","P1P2"
"6027","Solyc04g078690"," P1P2"," P1P2","P1P2","P2P3"
"6029","Solyc04g078700"," P1P2"," P1P2","P1P3","P1P2"
"6030","Solyc04g078750"," P1P2"," P1P2","P2P3","P1P3"
"6031","Solyc04g078760"," P1P2"," P1P2","P1P2","P2P3"
"6032","Solyc04g078770"," P1P2"," P1P2","P1P2","P1P2"
"6033","Solyc04g078780"," P1P2"," P1P2","P1P2","P1P3"
"6034","Solyc04g078810"," P1P2"," P1P2","P1P2","P2P3"
"6037","Solyc04g078820"," P1P2"," P1P2","P1P3","P2P3"
"6038","Solyc04g078870"," P1P2"," P2P3","P1P2","P1P2"
"6039","Solyc04g078880"," P1P2"," P2P3","P1P2","P1P2"
"6040","Solyc04g078890"," P1P2"," P1P2","P1P3","P1P2"
"6041","Solyc04g078910"," P1P2"," P2P3","P2P3","P1P2"
"6043","Solyc04g078920"," P1P2"," P1P2","P1P2","P2P3"
"6044","Solyc04g078950"," P1P2"," P1P2","P2P3","P1P3"
"6045","Solyc04g078960"," P1P2"," P1P3","P2P3","P1P3"
"6046","Solyc04g078970"," P1P2"," P1P2","P1P2","P1P3"
"6047","Solyc04g079000"," P1P2"," P1P2","P1P2","P1P2"
"6048","Solyc04g079090"," P1P2"," P1P2","P1P3","P1P3"
"6050","Solyc04g079100"," P1P2"," P1P2","P1P3","P1P3"
"6051","Solyc04g079140"," P1P2"," P1P2","P1P2","P1P2"
"6052","Solyc04g079150"," P2P3"," P1P3","P1P2","P2P3"
"6054","Solyc04g079160"," P1P2"," P1P3","P1P2","P1P2"
"6055","Solyc04g079200"," P1P2"," P1P2","P1P3","P1P2"
"6056","Solyc04g079270"," P1P2"," P1P2","P1P2","P1P2"
"6058","Solyc04g079280"," P1P2"," P1P2","P2P3","P1P3"
"6062","Solyc04g079300"," P1P2"," P1P2","P1P2","P2P3"
"6063","Solyc04g079340"," P1P2"," P1P2","P1P2","P2P3"
"6064","Solyc04g079350"," P1P2"," P1P2","P1P3","P1P3"
"6066","Solyc04g079360"," P1P2"," P1P2","P1P3","P1P2"
"6067","Solyc04g079390"," P1P2"," P1P2","P1P3","P1P2"
"6068","Solyc04g079400"," P1P2"," P1P2","P1P3","P1P3"
"6069","Solyc04g079410"," P1P2"," P2P3","P2P3","P1P2"
"6072","Solyc04g079430"," P1P2"," P2P3","P1P2","P2P3"
"6073","Solyc04g079540"," P1P2"," P2P3","P2P3","P1P2"
"6074","Solyc04g079550"," P1P2"," P1P2","P2P3","P1P2"
"6077","Solyc04g079560"," P1P2"," P1P2","P1P3","P1P3"
"6078","Solyc04g079730"," P1P2"," P1P2","P2P3","P1P2"
"6079","Solyc04g079740"," P1P2"," P1P2","P2P3","P1P3"
"6080","Solyc04g079770"," P1P2"," P1P2","P1P2","P1P2"
"6081","Solyc04g079790"," P1P2"," P1P2","P1P3","P1P2"
"6082","Solyc04g079800"," P1P2"," P2P3","P1P3","P1P3"
"6085","Solyc04g079810"," P1P2"," P1P2","P1P3","P1P2"
"6086","Solyc04g079850"," P1P2"," P1P2","P1P3","P2P3"
"6088","Solyc04g079860"," P1P2"," P1P2","P2P3","P1P2"
"6089","Solyc04g079900"," P1P2"," P1P2","P2P3","P2P3"
"6090","Solyc04g079920"," P1P2"," P1P2","P1P2","P1P2"
"6091","Solyc04g079930"," P1P2"," P2P3","P2P3","P2P3"
"6092","Solyc04g079940"," P1P2"," P1P2","P2P3","P1P3"
"6093","Solyc04g079950"," P1P2"," P1P2","P2P3","P1P3"
"6094","Solyc04g079960"," P1P2"," P1P2","P1P3","P1P2"
"6095","Solyc04g079970"," P1P2"," P1P2","P1P2","P2P3"
"6097","Solyc04g079980"," P1P2"," P1P2","P1P2","P1P2"
"6098","Solyc04g080000"," P1P2"," P2P3","P2P3","P1P3"
"6099","Solyc04g080020"," P1P2"," P1P2","P1P2","P1P2"
"6100","Solyc04g080030"," P1P2"," P1P2","P1P2","P2P3"
"6101","Solyc04g080050"," P1P2"," P1P2","P1P2","P1P3"
"6102","Solyc04g080060"," P1P2"," P1P2","P1P2","P1P3"
"6103","Solyc04g080080"," P1P2"," P1P2","P1P3","P1P3"
"6104","Solyc04g080090"," P1P2"," P1P2","P1P3","P1P2"
"6105","Solyc04g080100"," P1P2"," P1P2","P1P3","P2P3"
"6106","Solyc04g080120"," P1P2"," P1P2","P1P3","P2P3"
"6107","Solyc04g080130"," P1P2"," P1P2","P1P2","P1P2"
"6110","Solyc04g080140"," P1P2"," P1P2","P1P3","P1P2"
"6111","Solyc04g080180"," P1P2"," P1P2","P2P3","P1P2"
"6112","Solyc04g080190"," P1P2"," P2P3","P1P3","P1P2"
"6113","Solyc04g080200"," P1P2"," P1P3","P2P3","P1P2"
"6114","Solyc04g080220"," P1P2"," P2P3","P1P2","P2P3"
"6115","Solyc04g080230"," P1P2"," P1P2","P2P3","P1P3"
"6116","Solyc04g080240"," P1P2"," P1P2","P2P3","P1P3"
"6117","Solyc04g080260"," P1P2"," P1P2","P1P3","P2P3"
"6118","Solyc04g080270"," P1P2"," P1P2","P1P2","P1P2"
"6120","Solyc04g080280"," P1P2"," P1P2","P1P3","P1P2"
"6123","Solyc04g080300"," P1P2"," P1P2","P1P3","P1P2"
"6124","Solyc04g080340"," P1P2"," P1P2","P1P3","P1P3"
"6125","Solyc04g080350"," P1P2"," P1P2","P1P2","P2P3"
"6126","Solyc04g080360"," P1P2"," P1P2","P1P2","P1P3"
"6127","Solyc04g080370"," P1P2"," P2P3","P1P2","P2P3"
"6128","Solyc04g080380"," P1P2"," P1P2","P1P3","P2P3"
"6130","Solyc04g080390"," P1P2"," P1P2","P2P3","P1P3"
"6131","Solyc04g080440"," P1P2"," P1P2","P1P2","P2P3"
"6132","Solyc04g080450"," P1P2"," P1P3","P1P2","P2P3"
"6134","Solyc04g080460"," P1P2"," P2P3","P1P2","P1P3"
"6135","Solyc04g080550"," P1P2"," P1P2","P1P3","P1P2"
"6136","Solyc04g080570"," P1P2"," P1P2","P1P2","P1P2"
"6137","Solyc04g080580"," P1P2"," P1P2","P1P2","P1P2"
"6139","Solyc04g080590"," P1P2"," P1P2","P2P3","P2P3"
"6140","Solyc04g080610"," P1P2"," P1P2","P1P2","P1P2"
"6141","Solyc04g080630"," P1P2"," P1P2","P2P3","P2P3"
"6142","Solyc04g080670"," P1P2"," P1P2","P1P2","P2P3"
"6144","Solyc04g080700"," P1P2"," P1P2","P1P3","P1P3"
"6145","Solyc04g080730"," P1P2"," P1P2","P1P2","P1P2"
"6146","Solyc04g080740"," P1P2"," P1P2","P2P3","P1P3"
"6147","Solyc04g080770"," P1P2"," P1P2","P1P3","P1P2"
"6148","Solyc04g080790"," P1P2"," P1P2","P1P3","P1P2"
"6149","Solyc04g080800"," P1P2"," P1P2","P1P2","P1P2"
"6150","Solyc04g080810"," P1P2"," P1P2","P1P2","P1P2"
"6151","Solyc04g080820"," P1P2"," P1P2","P1P3","P1P3"
"6152","Solyc04g080830"," P1P2"," P2P3","P1P3","P2P3"
"6153","Solyc04g080850"," P1P2"," P1P2","P1P3","P2P3"
"6154","Solyc04g080860"," P1P2"," P1P2","P1P3","P1P3"
"6155","Solyc04g080870"," P1P2"," P1P3","P1P2","P1P2"
"6156","Solyc04g080880"," P1P2"," P1P2","P1P3","P1P2"
"6157","Solyc04g080900"," P1P2"," P1P2","P2P3","P2P3"
"6158","Solyc04g080930"," P1P2"," P1P2","P2P3","P1P2"
"6159","Solyc04g080950"," P1P2"," P1P2","P2P3","P2P3"
"6160","Solyc04g080960"," P1P2"," P1P2","P1P3","P1P2"
"6161","Solyc04g080970"," P1P2"," P1P2","P2P3","P2P3"
"6162","Solyc04g080980"," P1P2"," P1P2","P1P3","P2P3"
"6163","Solyc04g081030"," P1P2"," P1P2","P2P3","P1P2"
"6164","Solyc04g081070"," P1P2"," P1P2","P2P3","P1P2"
"6165","Solyc04g081090"," P1P2"," P1P2","P1P3","P2P3"
